,PropertyAddress,propertyURL,beds,bathrooms,size,ber lower,CountyOrPostcode,County,PropertyType,price bin,currentAskingPrice
81," Bauck Hill, St Mullins, Co Carlow, R95C932",https://www.myhome.ie/residential/brochure/bauck-hill-st-mullins-co-carlow-r95c932/4102004,4.0,2.0,227.0,C1,carlow,carlow,House,300000.0,298500.0
82," 44 The Orchards, Tullow Road, Carlow, R93 RC95",https://www.myhome.ie/residential/brochure/44-the-orchards-tullow-road-carlow-r93-rc95/4101860,4.0,3.0,130.0,E2,carlow,carlow,House,260000.0,249950.0
83," St. Killians Crescent, Staplestown Road, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/st-killians-crescent-staplestown-road-carlow-town-carlow/4095315,3.0,2.0,160.91791178265737,C2,carlow,carlow,House,140000.0,135000.0
84," 53 Fr. Cummins Park, Bagenalstown, Co Carlow, R21 EP28",https://www.myhome.ie/residential/brochure/53-fr-cummins-park-bagenalstown-co-carlow-r21-ep28/4092137,3.0,1.0,81.0,C2,carlow,carlow,House,140000.0,130000.0
85," Craan, Clonegal, Co. Carlow",https://www.myhome.ie/residential/brochure/craan-clonegal-co-carlow/4065769,4.0,3.0,160.91791178265737,D1,carlow,carlow,House,280000.0,265000.0
86," Corrigeen, Kilcoltrim, Borris, Co Carlow, 95X3T6",https://www.myhome.ie/residential/brochure/corrigeen-kilcoltrim-borris-co-carlow-95x3t6/4063745,4.0,1.0,108.0,D2,carlow,carlow,House,240000.0,220000.0
87," Rathellen, Leighlinbridge, Co Carlow, R93HX04",https://www.myhome.ie/residential/brochure/rathellen-leighlinbridge-co-carlow-r93hx04/4060113,5.0,2.0,167.0,D2,carlow,carlow,House,280000.0,275000.0
88," Tomduff, Borris, Carlow",https://www.myhome.ie/residential/brochure/tomduff-borris-carlow/4057506,3.0,2.0,160.91791178265737,C1,carlow,carlow,House,240000.0,220000.0
89," 4 The Elms, Athy Road, Carlow, R93 NH67",https://www.myhome.ie/residential/brochure/4-the-elms-athy-road-carlow-r93-nh67/4058210,4.0,2.0,135.5,D1,carlow,carlow,House,300000.0,282500.0
90," Barrowville Town House, Kilkenny Road, Carlow, R93 WK30",https://www.myhome.ie/residential/brochure/barrowville-town-house-kilkenny-road-carlow-r93-wk30/4051589,10.0,10.0,449.0,EXEMPT,carlow,carlow,House,900000.0,895000.0
91," Jerusalem, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/jerusalem-carlow-town-carlow/4045621,3.0,1.0,160.91791178265737,unk,carlow,carlow,House,220000.0,209500.0
92," Fr. Cummins Park, Bagenalstown, Carlow",https://www.myhome.ie/residential/brochure/fr-cummins-park-bagenalstown-carlow/4008573,3.0,1.0,160.91791178265737,F,carlow,carlow,House,120000.0,100000.0
93," Amberley House, Ducketts Grove, Co. Carlow, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/amberley-house-ducketts-grove-co-carlow-carlow-town-carlow/3703322,3.0,4.0,160.91791178265737,D1,carlow,carlow,House,1520000.0,1500000.0
94," 50 Dublin Road, Tullow, Carlow",https://www.myhome.ie/residential/brochure/50-dublin-road-tullow-carlow/4008505,4.0,1.0,97.06,F,carlow,carlow,House,140000.0,125000.0
95," Ballynavortha, Tullow, Carlow",https://www.myhome.ie/residential/brochure/ballynavortha-tullow-carlow/4008960,4.0,1.0,160.91791178265737,G,carlow,carlow,House,140000.0,135000.0
96," Rathsillagh, Carlow Road, Tullow",https://www.myhome.ie/residential/brochure/rathsillagh-carlow-road-tullow/4008907,4.0,1.0,134.4,C3,carlow,carlow,House,300000.0,285000.0
97," 17 Park Rise, Phelim Wood, Tullow, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/17-park-rise-phelim-wood-tullow-carlow-town-carlow/4004899,4.0,3.0,110.0,C1,carlow,carlow,House,220000.0,200000.0
98," "" Cuain Aingeal"" Kilcarry, Clonegal, Carlow",https://www.myhome.ie/residential/brochure/cuain-aingeal-kilcarry-clonegal-carlow/4004079,4.0,1.0,160.91791178265737,C3,carlow,carlow,House,280000.0,265000.0
99," Killeshin Road, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/killeshin-road-carlow-town-carlow/3997649,5.0,4.0,216.0,C2,carlow,carlow,House,360000.0,350000.0
100," Grange Grove, Tullow Road, Carlow",https://www.myhome.ie/residential/brochure/grange-grove-tullow-road-carlow/3988986,4.0,1.0,116.3,E2,carlow,carlow,House,240000.0,224500.0
101," Glenco, Myshall, Co. Carlow",https://www.myhome.ie/residential/brochure/glenco-myshall-co-carlow/3975053,5.0,2.0,160.91791178265737,C3,carlow,carlow,House,180000.0,179950.0
102," ""Dun-Roven"" Haroldstown , Tullow, Carlow",https://www.myhome.ie/residential/brochure/dun-roven-haroldstown-tullow-carlow/3968871,5.0,2.0,160.91791178265737,C1,carlow,carlow,House,480000.0,475000.0
103," Castledermot Road, Tullow, Co. Carlow",https://www.myhome.ie/residential/brochure/castledermot-road-tullow-co-carlow/3967385,5.0,3.0,160.91791178265737,C1,carlow,carlow,House,280000.0,265000.0
104," Erindale House, Kilkenny Road, Carlow Town, Co. Carlow",https://www.myhome.ie/residential/brochure/erindale-house-kilkenny-road-carlow-town-co-carlow/3962372,5.0,2.2288135593220337,510.0,EXEMPT,carlow,carlow,House,1360000.0,1350000.0
105," Erindale on c. 30 Acres, Kilkenny Road, Carlow, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/erindale-on-c-30-acres-kilkenny-road-carlow-carlow-town-carlow/231598,5.0,2.2288135593220337,510.97000122070295,EXEMPT,carlow,carlow,House,1360000.0,1350000.0
106," Bushfield, Ballinabrannagh, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/bushfield-ballinabrannagh-carlow-town-carlow/3865164,4.0,4.0,160.91791178265737,B3,carlow,carlow,House,360000.0,350000.0
107," Fonthill, Milford, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/fonthill-milford-carlow-town-carlow/3865287,5.0,2.0,192.96,D1,carlow,carlow,House,320000.0,300000.0
108," Main Street, Borris, Carlow",https://www.myhome.ie/residential/brochure/main-street-borris-carlow/3860707,4.0,4.0,215.35,C3,carlow,carlow,House,280000.0,260000.0
109," Milltown, Garryhill, Bagenalstown, Co Carlow",https://www.myhome.ie/residential/brochure/milltown-garryhill-bagenalstown-co-carlow/3852610,2.0,1.0,50.0,EXEMPT,carlow,carlow,House,60000.0,45000.0
110," Ballykilmurray, Hacketstown, Carlow",https://www.myhome.ie/residential/brochure/ballykilmurray-hacketstown-carlow/3846697,6.0,4.0,280.0,C1,carlow,carlow,House,280000.0,274000.0
111," Kilmona, Monaughrim Cross, Clonegal, Carlow",https://www.myhome.ie/residential/brochure/kilmona-monaughrim-cross-clonegal-carlow/3665817,3.0,1.0,160.91791178265737,D1,carlow,carlow,House,220000.0,210000.0
112," Kilcarrig Bridge, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/kilcarrig-bridge-carlow-town-carlow/3490491,4.0,3.0,180.0,C2,carlow,carlow,House,340000.0,330000.0
113," Shilleagh road Tullow, Tullow, Carlow",https://www.myhome.ie/residential/brochure/shilleagh-road-tullow-tullow-carlow/3834421,2.0,2.2288135593220337,160.91791178265737,unk,carlow,carlow,House,100000.0,90000.0
114," Clonaugh Ballickmoyler, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/clonaugh-ballickmoyler-carlow-town-carlow/3826110,5.0,2.0,160.91791178265737,C2,carlow,carlow,House,340000.0,320000.0
115," Type F, Barrowville, Kilkenny Road, Carlow",https://www.myhome.ie/residential/brochure/type-f-barrowville-kilkenny-road-carlow/3815736,4.0,3.0,184.5,A3,carlow,carlow,House,400000.0,380000.0
116," 2A Station Road, Tullow, Co. Carlow",https://www.myhome.ie/residential/brochure/2a-station-road-tullow-co-carlow/3815716,4.0,2.0,237.5,C2,carlow,carlow,House,260000.0,258500.0
117," Quakers Hill, Killeshin, Carlow Town, Co. Carlow, R93 C5P2",https://www.myhome.ie/residential/brochure/quakers-hill-killeshin-carlow-town-co-carlow-r93-c5p2/3815701,4.0,1.0,102.0,E2,carlow,carlow,House,240000.0,229950.0
118," Seskinryan, Bagenalstown, Co Carlow",https://www.myhome.ie/residential/brochure/seskinryan-bagenalstown-co-carlow/3815682,4.0,2.0,126.5,E2,carlow,carlow,House,200000.0,195000.0
119," Moore's Lane, Crosslow, Tullow, Co. Carlow",https://www.myhome.ie/residential/brochure/moore-s-lane-crosslow-tullow-co-carlow/3815664,4.0,3.0,215.2,C1,carlow,carlow,House,300000.0,299500.0
120," Clarence Court, Link Road, Browneshill, Carlow Town, Co Carlow",https://www.myhome.ie/residential/brochure/clarence-court-link-road-browneshill-carlow-town-co-carlow/3815653,4.0,4.0,232.3,C1,clare,clare,House,440000.0,430000.0
121," The Willows, Shillelagh Road, Tullow, Carlow",https://www.myhome.ie/residential/brochure/the-willows-shillelagh-road-tullow-carlow/3547580,3.0,1.0,160.91791178265737,C3,carlow,carlow,House,240000.0,220000.0
122," 16 Moyacomb Meadow, Clonegal, Wexford",https://www.myhome.ie/residential/brochure/16-moyacomb-meadow-clonegal-wexford/2521375,4.0,4.0,162.0,C1,wexford,wexford,House,240000.0,239000.0
123," Greaghnadarragh, Mullagh, Cava",https://www.myhome.ie/residential/brochure/greaghnadarragh-mullagh-cavan/4212219,4.0,3.0,230.5,C1,cavan,cavan,House,280000.0,265000.0
124," Lakeside Lodge, Ardlow, Virginia, Cava",https://www.myhome.ie/residential/brochure/lakeside-lodge-ardlow-virginia-cavan/4147075,4.0,3.0,194.0,C2,cavan,cavan,House,300000.0,299000.0
